subject_id,workflow_id,task,reducer,data.aggregation_version,data.this-image-is-too-dark-or-blurry
20860262,6465,T6,shortcut_reducer,3.4.5,
20860263,6465,T6,shortcut_reducer,3.4.5,
20860264,6465,T6,shortcut_reducer,3.4.5,1.0
20860265,6465,T6,shortcut_reducer,3.4.5,
20860266,6465,T6,shortcut_reducer,3.4.5,
20860267,6465,T6,shortcut_reducer,3.4.5,1.0
20860268,6465,T6,shortcut_reducer,3.4.5,
20860269,6465,T6,shortcut_reducer,3.4.5,
20860270,6465,T6,shortcut_reducer,3.4.5,3.0
20860271,6465,T6,shortcut_reducer,3.4.5,
20860272,6465,T6,shortcut_reducer,3.4.5,1.0
20860273,6465,T6,shortcut_reducer,3.4.5,
20860274,6465,T6,shortcut_reducer,3.4.5,
20860275,6465,T6,shortcut_reducer,3.4.5,
20860276,6465,T6,shortcut_reducer,3.4.5,
20860277,6465,T6,shortcut_reducer,3.4.5,
20860278,6465,T6,shortcut_reducer,3.4.5,
20860279,6465,T6,shortcut_reducer,3.4.5,3.0
20860280,6465,T6,shortcut_reducer,3.4.5,
20860281,6465,T6,shortcut_reducer,3.4.5,
20860282,6465,T6,shortcut_reducer,3.4.5,
20860283,6465,T6,shortcut_reducer,3.4.5,
20860284,6465,T6,shortcut_reducer,3.4.5,
20860285,6465,T6,shortcut_reducer,3.4.5,
20860286,6465,T6,shortcut_reducer,3.4.5,
20860287,6465,T6,shortcut_reducer,3.4.5,
20860288,6465,T6,shortcut_reducer,3.4.5,
20860289,6465,T6,shortcut_reducer,3.4.5,2.0
20860290,6465,T6,shortcut_reducer,3.4.5,4.0
20860291,6465,T6,shortcut_reducer,3.4.5,2.0
20860292,6465,T6,shortcut_reducer,3.4.5,3.0
20860293,6465,T6,shortcut_reducer,3.4.5,1.0
20860294,6465,T6,shortcut_reducer,3.4.5,
20860295,6465,T6,shortcut_reducer,3.4.5,
20860296,6465,T6,shortcut_reducer,3.4.5,1.0
20860297,6465,T6,shortcut_reducer,3.4.5,
20860298,6465,T6,shortcut_reducer,3.4.5,
20860299,6465,T6,shortcut_reducer,3.4.5,
20860300,6465,T6,shortcut_reducer,3.4.5,
20860301,6465,T6,shortcut_reducer,3.4.5,
20860302,6465,T6,shortcut_reducer,3.4.5,
20860303,6465,T6,shortcut_reducer,3.4.5,
20860304,6465,T6,shortcut_reducer,3.4.5,
20860305,6465,T6,shortcut_reducer,3.4.5,
20860306,6465,T6,shortcut_reducer,3.4.5,
20860307,6465,T6,shortcut_reducer,3.4.5,
20860308,6465,T6,shortcut_reducer,3.4.5,
20860309,6465,T6,shortcut_reducer,3.4.5,
20860310,6465,T6,shortcut_reducer,3.4.5,
20860311,6465,T6,shortcut_reducer,3.4.5,
